{{-0.1443208749749989, -0.16697703417632112, 0.1860588459804658}, 
{-0.17101947697527997, -0.17050124938549066, -0.23666141532163187}, 
{-0.10134850657213927, 0.04604655565473982, -0.1528734597150323}, 
{-0.10046403577122456, -0.10703836149242811, 0.11443494088912791}, 
{-0.12810830103435658, -0.13346347366880043, -0.01512342623908698}, 
{-0.11695897601000911, -0.011289396289740444, -0.0059366711617844636}, 
{-0.12175016657881063, 0.18418576070281628, 0.09687066904357103}, 
{-0.023427644332352858, 0.2646705545749208, -0.036998816822194955}, 
{-0.11928119411081993, 0.12036368719866251, -0.07374021224847227}, 
{-0.15351971461041575, 0.08190864941795797, -0.29353534012905813}, 
{-0.10735557562354364, 0.11619166143734841, 0.103188628950501}, 
{-0.11558052638421201, 0.23228727177184205, 0.1514916841634664}, 
{-0.11420139523709, -0.12883154443907746, 0.05100405227531613}, 
{-0.14597723020110942, 0.07286943528088376, 0.13165835724692915}, 
{-0.13187679990589904, 0.04301263210495578, -0.025796886957691435}, 
{-0.10474560915273393, -0.1461504203916595, -0.05035597858738983}, 
{-0.12561728061571237, -0.0006831866971089843, -0.16800099985170883}, 
{-0.11532421627838027, -0.053498422030995585, 0.14542132859151802}, 
{-0.047657215688882336, -0.1501953236454123, -0.09290669897639466}, 
{-0.10802656889403371, -0.05131366124976737, 0.22836437011073543}, 
{0.12862110096801302, 0.03231833754794583, 0.1500996569143188}, 
{0.09757304237950341, 0.08069529864750366, 0.08743018239201217}, 
{0.08423649507244353, 0.03484746073017746, 0.04541076170066108}, 
{0.13067396337327203, -0.04667234794547617, 0.016434242281700713}, 
{0.141714467016308, -0.02406016478246184, 0.005871241534709043}, 
{0.09455624870870913, 0.06618102946765894, -0.08339301924651779}, 
{0.11030716371734817, 0.01054193193983265, 0.08925200960922082}, 
{0.13361569036887566, -0.05732067561489552, -0.09799966180732803}, 
{0.10968791271866137, -0.13301997404411392, -0.10058221525427692}, 
{0.14537307520344114, -0.14883447909483208, 0.04306778890016452}, 
{0.09814227323278779, 0.06977687642942249, -0.07920915161631453}, 
{0.14085787768003089, -0.033561277339517394, 0.00393703980363059}, 
{0.1165803235052274, 0.03088099787059081, -0.042266413741024106}, 
{0.1169546111279779, -0.015425192992406814, 0.019204480839271138}, 
{0.16257146720239624, -0.019312944442265275, -0.01735191114183989}, 
{0.11793093882448308, 0.053291466632757425, -0.03133745758260303}, 
{0.05370697723120059, 0.00387731270448396, -0.013609713283630755}, 
{0.09675671511296488, -0.21555333107520483, 0.06177273755926838}, 
{0.12020875018437689, 0.1270477927130614, 0.04421481556017115}, 
{0.09649221532398569, 0.1427077479704168, -0.15750838466277842}}
