{{-0.17184697009508992, 0.2065446464554432, 0.14214130542237635}, 
{-0.17036565633928524, 0.2046172384910294, -0.1723607108894044}, 
{-0.18775368940160908, -0.19684282681859458, -0.1599506730785655}, 
{-0.11355968242351612, 0.3931184790338652, 0.06540922830535241}, 
{-0.16363847569435142, -0.19015390953652786, 0.01664436849054834}, 
{-0.10271907847261652, -0.09364986778336547, -0.36396743701555445}, 
{-0.12425980958659276, -0.01888373127073389, 0.14213110367686382}, 
{-0.10794013389591793, -0.15624653342112785, 0.06528595458551466}, 
{-0.14319810270188135, -0.07277664263746259, 0.0003940914948632585}, 
{-0.188473033895859, -0.11314660799644038, 0.07959234239406153}, 
{-0.14136673621032633, -0.06263943815693075, 0.21853103312916683}, 
{-0.18274914972495793, 0.07895038188579528, -0.08572548772853038}, 
{0.12507861613132465, 0.10645390827927334, 0.09274469981765489}, 
{0.14490461038895988, -0.04332605739025779, 0.15775433665457017}, 
{0.1547080099846873, -0.06491565283559801, 0.07772153041190277}, 
{0.19378296369319428, -0.03007509756673328, -0.03126750273825954}, 
{0.19386716465370515, -0.07432812893363525, -0.0735534977701202}, 
{0.09781427788709271, -0.17444973848651577, 0.17378000072746055}, 
{0.14255775238320198, 0.1453709264875087, -0.10955950857693256}, 
{0.11118363096736678, 0.16767882730635952, -0.15230173789498183}, 
{0.23951189131127804, -0.02368120936661995, -0.07517468611601309}, 
{0.11144553460493259, 0.12385836975640022, 0.0921027971094458}, 
{0.15235983841646944, -0.03266304486050267, 0.13970119838091594}, 
{0.13065622801979004, -0.07881429063462954, -0.24007274879233653}}
