{{0.07774514309054684, -0.15004062175604604, 0.15343017966934944}, 
{0.0930105400343038, -0.0966420519457727, 0.12937827002968244}, 
{0.06276845981065751, -0.037558316231536125, 0.09645343365930714}, 
{0.11700772563058334, -0.04319855467187477, 0.0888062622314429}, 
{0.06253993061253449, -0.09112048748270489, 0.029368316440766696}, 
{0.22448583918139023, 0.050045342846012926, -0.1348591240574335}, 
{0.14180041246321223, 0.0301452745583209, -0.11966460003659676}, 
{0.12772567499558532, 0.040923932453433606, -0.11501162859515605}, 
{0.13002734009385714, 0.026661189426854817, -0.1260581546652323}, 
{0.09052893396227131, -0.023519389332617793, -0.05596102621159591}, 
{0.12251231646633444, 0.019010256892084878, -0.0658444993282848}, 
{0.10616179672867715, -0.005877185019379153, -0.14255178721747036}, 
{0.07796412845679683, 0.12706558815365457, 0.0478519499308042}, 
{0.08959615507441138, 0.03384620783521994, -0.03270807566074089}, 
{0.10134506048350764, -0.006292177056143616, -0.0325436528306664}, 
{0.08213656591845979, 0.32492441287646684, 0.2333275769346629}, 
{0.07988642719919037, -0.013665412238875801, -0.04769605653889757}, 
{0.07797992151890373, -0.0626591271334276, 0.09886222981961845}, 
{0.10135050932019618, -0.11905368392001549, 0.02482291566944948}, 
{0.09926034247375719, -0.09555969048312567, 0.11025236448951647}, 
{-0.10422929383229941, -0.19312612440207574, 0.15624158839645907}, 
{-0.08134250499218035, -0.1151930406148206, 0.17841587585915686}, 
{-0.10993476539294604, -0.11808832329892585, 0.04132049989335627}, 
{-0.09579355185663661, -0.07705401882880258, 0.013983591764935771}, 
{-0.10434764363011388, -0.01430963487452727, 0.017656133939772493}, 
{-0.12573450439720352, -0.08254767869009075, -0.002040775253419422}, 
{-0.059428415471970086, 0.0036789346600165, -0.07795466385293133}, 
{-0.11803860397190513, -0.021287627139166772, -0.10061943697308107}, 
{-0.07769903076427483, 0.08817711483339431, -0.20704680749052443}, 
{-0.14809763429500425, 0.05128332650745729, -0.07808256808648742}, 
{-0.1467282012397608, -0.018591746078108783, -0.15082548696019957}, 
{-0.12558840484404274, 0.058020294760936626, -0.022745593692795378}, 
{-0.06376704589190099, 0.1900441703086165, 0.06128942756867589}, 
{-0.08485809066981212, 0.027928809029703988, -0.08408235183507579}, 
{-0.06882293019628907, 0.06742799953286663, -0.024542932139880246}, 
{-0.09027172654189715, 0.3297981656255949, 0.23223758244818268}, 
{-0.15790949525029588, 0.018357305702836252, -0.03856488482231945}, 
{-0.11103992881576416, 0.02257227847633005, -0.04376433900958876}, 
{-0.13026255078377516, -0.001376116398520538, -0.05686701296668532}, 
{-0.06193890067710685, -0.12314959688324573, 0.04633725947992382}}
