{{0.12576287895325275, 0.1899694849564354, -0.18693253718901057}, 
{0.12914129050135073, 0.13280539388915796, 0.06282099464358352}, 
{0.12793452669527564, -0.07370856379598396, -0.1850946687248276}, 
{0.13953297686390045, 0.3378108742541561, -0.013345434973123665}, 
{0.16485471966863088, -0.06558954148715035, -0.10564223665081772}, 
{0.15627935598845166, -0.06389032100479314, 0.014652066328415508}, 
{0.13295558826297973, 0.13889065203017772, 0.13024626016539056}, 
{0.18997954259474986, -0.10953862429452717, 0.04134482658913844}, 
{0.15873224790511775, -0.12981687169111267, -0.05590104253320251}, 
{0.17574018275535233, -0.05364195188182347, 0.051953571544266795}, 
{0.11957774637361228, -0.14120981950697192, -0.0025009892526305353}, 
{0.209059988978491, -0.011144634437981507, 0.25442020864836207}, 
{-0.15879148522119224, -0.13798029713422358, -0.07643495584840891}, 
{-0.17237000550741452, 0.07296713514297237, 0.10250350201312429}, 
{-0.15692141302161042, 0.14731848204938142, 0.08128455707081297}, 
{-0.1031930478102454, -0.12802593711554897, -0.20992953460554756}, 
{-0.16597597011165552, 0.22684529940490777, -0.12704363528936763}, 
{-0.1611003554095165, -0.055346258637193585, 0.28216898319543243}, 
{-0.163788515075102, 0.046280041762350774, 0.30430047023235046}, 
{-0.12313892339252124, -0.1460807880772344, -0.10208190471702165}, 
{-0.10508978473906394, 0.10202349041453869, -0.16192277110087647}, 
{-0.12630398733702533, -0.00767020071992911, 0.04663239000747373}, 
{-0.1645963605533326, 0.13009009469223393, -0.17477198084996365}, 
{-0.08179881364395296, -0.23320490942632283, 0.006271388751863214}, 
{-0.1464823837185315, -0.16815222938551522, 0.02300247254458313}}
