{{0.1294610181134091, -0.018249158767316163, 0.2124415745704588}, 
{0.15786550473084576, 0.10976130311081052, 0.04516720058016012}, 
{0.11461487853667546, -0.023981833091977597, -0.030266620831628836}, 
{0.13195487671483402, 0.09530321618932738, 0.05481260941623705}, 
{0.13117815050830736, 0.0927029738952452, 0.10061142718712074}, 
{0.10731799156227373, 0.03200389795874757, -0.1362625717400902}, 
{0.12366461321261059, -0.10971216363826748, -0.1522793313251299}, 
{0.07219498827164965, -0.1322598789389001, -0.23189007671156617}, 
{0.11147426291412248, -0.00704978903201589, -0.24906683846337893}, 
{0.15127258394940285, -0.011222758635226957, -0.08252262848750101}, 
{0.10433140495459338, -0.14937030504596924, 0.0706512835082045}, 
{0.1105424144458667, -0.13900168916874336, -0.03858323027093825}, 
{0.10045705170729073, 0.03471795155885234, 0.11285726890565939}, 
{0.14743145763633914, -0.051604643340151975, -0.010369092684553275}, 
{0.12838825646376928, -0.018660014770104517, -0.05431010660903507}, 
{0.09893054149873376, 0.02505414512369696, 0.2632885509172893}, 
{0.11082303068905504, 0.10815044827417397, 0.00781643272791113}, 
{0.1209262422062042, 0.10515291890281528, -0.0478273774152469}, 
{0.0649343739260537, 0.041696979786155164, 0.0106372223407353}, 
{0.12425952929331865, -0.04559585261061798, 0.15936018562715315}, 
{-0.14947872453866112, 0.028790912084238743, 0.1387097919585889}, 
{-0.09179477591576078, -0.12620495758040812, -0.04475480512315872}, 
{-0.10778617137130307, 0.17666077667442118, 0.013044017632400129}, 
{-0.12482098663345949, 0.20990304202165094, 0.09814568779561333}, 
{-0.16336887978942138, 0.10586046449334964, -0.01649312949571865}, 
{-0.11763470387289102, 0.16701051030847508, -0.05340092689777111}, 
{-0.1357480363668411, 0.08484856749845825, -0.1131432504075738}, 
{-0.08853435537747398, 0.1965967142629663, -0.16928070002838966}, 
{-0.14321622076140275, 0.2137720863844292, -0.04903095427957946}, 
{-0.12521507800388515, -0.25801019103284983, -0.0018269431419363398}, 
{-0.15256246856842207, -0.16332499079212312, 0.05513043848430309}, 
{-0.14957138116191393, -0.1669552811389918, -0.011498391924853423}, 
{-0.13276505185280912, -0.058222954027484085, 0.19380853486015234}, 
{-0.16337306793734052, -0.019174624620999295, 0.006245407170652852}, 
{-0.10371584839023064, -0.13561634928972974, 0.12703973143636924}, 
{-0.16253290010235377, -0.07309767649105922, -0.02935718404399467}, 
{-0.11419254003773902, -0.04682649750679447, -0.15704438179984298}, 
{-0.11571198065344745, -0.07384529900808225, 0.009441176562878123}}
